,Country name,Code,Year,Mismanaged (% global total)
6,Aruba,ABW,2010,0.0012
69,Guam,GUM,2010,0.0012
26,Channel Islands,OWID_CIS,2010,0.0009
39,Curacao,CUW,2010,0.0008
125,Northern Mariana Islands,MNP,2010,0.0007
15,Bermuda,BMU,2010,0.0004
52,Faeroe Islands,FRO,2010,0.0003
142,Saint Helena,SHN,2010,0.0003
71,Guernsey,GGY,2010,0.0003
66,Greenland,GRL,2010,0.0003
25,Cayman Islands,CYM,2010,0.0003
19,Brunei,BRN,2010,0.0003
175,Turks and Caicos Islands,TCA,2010,0.0002
123,Norfolk Island,NFK,2010,0.0002
3,Anguilla,AIA,2010,0.0002
64,Gibraltar,GIB,2010,0.0002
108,Monaco,MCO,2010,0.0002
18,British Virgin Islands,VGB,2010,0.0002
154,Sint Maarten (Dutch part),SXM,2010,0.0002
110,Montserrat,MSR,2010,0.0001
170,Tokelau,TKL,2010,0.0001
30,Cocos Islands,CCK,2010,0.0
53,Falkland Islands,FLK,2010,0.0
145,Saint Pierre and Miquelon,SPM,2010,0.0
122,Niue,NIU,2010,0.0
29,Christmas Island,CXR,2010,0.0
